epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
99,12869.2,0.41026,0.32751,0.90085,0.4354,0.68585,0.49686,0.46525,0.46014,0.80846,0.97477,0.00193088,0.000643625,0.00193088,0.000643625,0.00193088,0.000643625,0.00193088,0.000643625
100,13001.7,0.40527,0.31025,0.89823,0.43864,0.68585,0.53291,0.50252,0.44921,0.78563,0.97261,0.00191231,0.000637437,0.00191231,0.000637437,0.00191231,0.000637437,0.00191231,0.000637437
101,13122.7,0.37512,0.30329,0.87457,0.44386,0.66085,0.52423,0.49451,0.44809,0.74321,0.97493,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125
102,13254.1,0.39802,0.30854,0.89093,0.42544,0.66085,0.52108,0.49324,0.45831,0.76728,0.97802,0.00187519,0.000625062,0.00187519,0.000625062,0.00187519,0.000625062,0.00187519,0.000625062
103,13377.7,0.3855,0.29919,0.88364,0.42984,0.66085,0.50786,0.48156,0.46255,0.84518,0.97481,0.00185662,0.000618875,0.00185662,0.000618875,0.00185662,0.000618875,0.00185662,0.000618875
104,13511,0.38542,0.3015,0.87501,0.44491,0.60749,0.52931,0.50485,0.45552,0.79338,0.96878,0.00183806,0.000612687,0.00183806,0.000612687,0.00183806,0.000612687,0.00183806,0.000612687
105,13633.1,0.4309,0.32171,0.88931,0.41894,0.70459,0.52835,0.50745,0.45235,0.75019,0.96645,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065
106,13764.5,0.41481,0.31644,0.91423,0.41769,0.71085,0.52464,0.49946,0.46421,0.75479,0.96353,0.00180094,0.000600313,0.00180094,0.000600313,0.00180094,0.000600313,0.00180094,0.000600313
107,13886,0.38713,0.32168,0.89814,0.42354,0.71085,0.52089,0.49274,0.47813,0.74546,0.96312,0.00178237,0.000594125,0.00178237,0.000594125,0.00178237,0.000594125,0.00178237,0.000594125
108,14018.5,0.40095,0.30887,0.88612,0.42889,0.71279,0.54357,0.5032,0.48059,0.78104,0.96381,0.00176381,0.000587938,0.00176381,0.000587938,0.00176381,0.000587938,0.00176381,0.000587938
109,14138.7,0.39053,0.29553,0.91105,0.42825,0.71004,0.53019,0.49621,0.47366,0.77599,0.9617,0.00174525,0.00058175,0.00174525,0.00058175,0.00174525,0.00058175,0.00174525,0.00058175
110,14270.5,0.38413,0.30849,0.87915,0.43023,0.68092,0.53324,0.50618,0.44752,0.71585,0.96002,0.00172669,0.000575563,0.00172669,0.000575563,0.00172669,0.000575563,0.00172669,0.000575563
111,14389.6,0.4157,0.323,0.90321,0.44953,0.66085,0.52194,0.49556,0.44328,0.71102,0.95301,0.00170812,0.000569375,0.00170812,0.000569375,0.00170812,0.000569375,0.00170812,0.000569375
